,train-logloss-mean,train-logloss-std,train-auc-mean,train-auc-std,test-logloss-mean,test-logloss-std,test-auc-mean,test-auc-std
29,0.5856874999999999,0.004223404627785516,0.7619319,0.006639874147150697,0.5859305,0.004984553385209154,0.7462531,0.015131862069487688
30,0.5849502999999999,0.004956629783431496,0.7626928000000001,0.006209044238850293,0.585257,0.005965843142423378,0.7471743,0.01589397657007208
31,0.5828105,0.006016082267555852,0.7638784000000001,0.006456001846344228,0.5831236,0.007243801242441709,0.7464346,0.015368304390530527
32,0.5825059,0.0051980961408961785,0.7649033999999999,0.006141514734981919,0.5828307,0.006411851153138227,0.7468786000000001,0.015327285423061714
33,0.5812518,0.004663934493536558,0.7652152999999999,0.006278319218548862,0.5815372999999999,0.005234476173410293,0.7469424,0.014497088936748656
34,0.5830624,0.0033603943280514008,0.7656633000000002,0.006133648539817084,0.5832837000000001,0.003784389912522218,0.7477693999999999,0.013609217444070783
35,0.5816004000000001,0.002350910257751243,0.7664619,0.00602045284758546,0.5817032,0.0026628857579700837,0.7493117,0.013226593983713286
36,0.5791121,0.003252160956963865,0.7673182000000001,0.0055247052011849485,0.5793091,0.002612907746170929,0.7505562,0.013337071483650383
37,0.5797812,0.004221225788796407,0.7679368,0.005852209886871805,0.580028,0.0036462623602807266,0.7508306,0.014140014831675379
38,0.5790846000000001,0.004380564123489101,0.7684656,0.005985730852619401,0.5793145,0.004830749595042155,0.7507689,0.014465878690560074
39,0.5777446000000002,0.004206281022471028,0.769253,0.005994112094380616,0.5780178,0.004594931507650588,0.7511604,0.014529950751465038
40,0.5774682999999999,0.002327602588501744,0.7699977,0.0061062997641779864,0.5777519,0.003293367408899278,0.7517501,0.014337978807698102
41,0.5759289,0.004253989949447461,0.770718,0.005771769659298637,0.5761739,0.005750895572865165,0.7521915,0.013510574282760908
42,0.5755065000000001,0.0028329440252147513,0.7714967,0.005666086922206545,0.5756414000000001,0.004048402727002341,0.7526394,0.013396328005838032
43,0.5751581,0.003025621141187359,0.7715043,0.005704230746559955,0.5753381,0.003903858820449327,0.7529503,0.01352204945302302
44,0.5748913000000001,0.0039959480489616,0.7718911,0.005549480524337386,0.5751219,0.0050592113901279075,0.7527417,0.013390128909386952
45,0.5739049,0.00492654593909363,0.7730176,0.005160304471637303,0.574209,0.006710950588404011,0.7538302,0.013805149545006742
46,0.5731202000000001,0.003942779369936898,0.7735012,0.00505893089100847,0.5734516,0.005687894376656449,0.7536387999999999,0.013867504907516716
47,0.5714914,0.003938683541489481,0.7740186,0.0043929913999460465,0.5717991999999998,0.005182629039396905,0.7544903,0.013808857179723454
48,0.5717132,0.0033205849725613033,0.7746646,0.004286315158734834,0.5720758000000001,0.005327037202798579,0.7544779,0.013653323027380542
49,0.5705566,0.004110311039325376,0.7754327999999999,0.004203402188703822,0.5708306999999999,0.006101332248779773,0.755213,0.013187324846230178
50,0.5710637000000001,0.006060504534277653,0.7759410999999999,0.0039001045485986857,0.5714934,0.007842478169558397,0.7547901,0.012847689538979388
51,0.5696343,0.004991282761976119,0.7764188999999999,0.004036240563940667,0.5701279,0.006569842455493124,0.7547862000000001,0.012505805698154765
52,0.570483,0.004460234321198818,0.7770138000000001,0.004001107091793479,0.5710352999999999,0.0054827229557948476,0.7554442,0.013189878891028555
